title,year,certificate,rating,description,director,writer,actors,genres
Tyler Perry's Boo 2! A Madea Halloween,2017,2017,3.8,"Madea, Bam, and Hattie venture to a haunted campground and the group must run for their lives when monsters, goblins, and the boogeyman are unleashed.",Tyler Perry,"['Tyler Perry', 'Tyler Perry']","['Tyler Perry', 'Cassi Davis', 'Patrice Lovely', 'Yousef Erakat', 'Diamond White', 'Lexy Panterra', 'Andre Hall', ""Brock O'Hurn"", 'Tito Ortiz', 'Taja V. Simpson', 'Inanna Sarkis', 'Hannah Stocking', 'Mike Tornabene', 'J.C. Caylen', 'Akende Munalula', 'Alex Wassabi', 'Barry Stoltze', 'Bradley Martyn']",Tyler Perry
Transformers: The Last Knight,2017,2017,5.2,"A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.",Michael Bay,"['Michael Bay', 'Art Marcum']","['Mark Wahlberg', 'Anthony Hopkins', 'Josh Duhamel', 'Laura Haddock', 'Santiago Cabrera', 'Isabela Merced', 'Jerrod Carmichael', 'Stanley Tucci', 'Liam Garrigan', 'Martin McCreadie', 'Rob Witcomb', 'Marcus Fraser', 'John Hollingworth', 'Daniel Adegboyega', 'Trent Seven', 'Glenn Morshower', 'Gemma Chan', 'John Turturro']",Michael Bay
Ride Along 2,2016,2016,5.9,"As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.",Tim Story,"['Tim Story', 'Phil Hay']","['Ice Cube', 'Kevin Hart', 'Tika Sumpter', 'Benjamin Bratt', 'Olivia Munn', 'Ken Jeong', 'Bruce McGill', 'Michael Rose', 'Sherri Shepherd', 'Arturo Del Puerto', 'Eric Goins', 'Carlos Gómez', 'Utkarsh Ambudkar', 'Glen Powell', 'Nadine Velazquez', 'Bresha Webb', 'Jessica Bialick', 'Michelle Pieroway']",Tim Story
A Madea Family Funeral,2019,2019,4.5,"A joyous family reunion becomes a hilarious nightmare as Madea and the crew travel to backwoods Georgia, where they find themselves unexpectedly planning a funeral that might unveil unsavory family secrets.",Tyler Perry,"['Tyler Perry', 'Tyler Perry']","['Tyler Perry', 'Cassi Davis', 'Patrice Lovely', 'Mike Tyson', 'Ciera Payton', 'Kj Smith', 'Quin Walters', 'Aeriél Miranda', 'Jen Harper', 'Courtney Burrell', 'Rome Flynn', 'David Otunga', 'Derek Morgan', 'Aryeh-Or', 'Christianee Porter', 'Darryl W. Handy', 'Joel Rush', 'Selena Anduze']",Tyler Perry
Resident Evil: Retribution,2012,2012,5.3,Alice fights alongside a resistance movement to regain her freedom from an Umbrella Corporation testing facility.,Paul W.S. Anderson,"['Paul W.S. Anderson', 'Paul W.S. Anderson']","['Milla Jovovich', 'Sienna Guillory', 'Michelle Rodriguez', 'Aryana Engineer', 'Bingbing Li', 'Boris Kodjoe', 'Johann Urb', 'Robin Kasyanov', 'Kevin Durand', 'Ofilio Portillo', 'Oded Fehr', 'Colin Salmon', 'Shawn Roberts', 'Toshio Oki', 'Takato Yamashita', 'Mika Nakashima', 'Megan Charpentier', ""Ave Merson-O'Brian""]",Paul W.S. Anderson
Fifty Shades Darker,2017,2017,4.5,"While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",James Foley,"['James Foley', 'Niall Leonard']","['Dakota Johnson', 'Jamie Dornan', 'Eric Johnson', 'Eloise Mumford', 'Bella Heathcote', 'Rita Ora', 'Luke Grimes', 'Victor Rasuk', 'Max Martini', 'Bruce Altman', 'Kim Basinger', 'Marcia Gay Harden', 'Andrew Airlie', 'Robinne Lee', 'Amy Price-Francis', 'Fay Masterson', 'Ryker Brown', 'Logan Brown']",James Foley
Power Rangers,2017,2017,5.9,"When Earth is on the verge of an alien invasion, five teenagers, who are infused with superhuman abilities, must harness their newfound powers to battle this threat - as the Power Rangers.",Dean Israelite,"['Dean Israelite', 'John Gatins']","['Dacre Montgomery', 'Naomi Scott', 'RJ Cyler', 'Ludi Lin', 'Becky G', 'Elizabeth Banks', 'Bryan Cranston', 'Bill Hader', 'Matt Shively', 'Cody Kearsley', 'David Denman', 'Robert Moloney', 'Anjali Jay', 'Sarah Grey', 'Morgan Taylor Campbell', 'Caroline Cave', 'Kayden Magnuson', 'Lisa Berry']",Dean Israelite
Dragonball Evolution,2009,2009,2.6,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",James Wong,"['James Wong', 'Ben Ramsey']","['Justin Chatwin', 'James Marsters', 'Chow Yun-Fat', 'Emmy Rossum', 'Jamie Chung', 'Joon Park', 'Eriko Tamura', 'Randall Duk Kim', 'Ernie Hudson', 'Texas Battle', 'Megumi Seki', 'Ian Whyte', 'Richard Blake', 'Jon Valera', 'Rafael Valdez', 'Mike Wilson', 'Freddy Bouciegues', 'Shavon Kirksey']",James Wong
Stealth,2005,2005,5.0,"Deeply ensconced in a top-secret military program, three pilots struggle to bring an artificial intelligence program under control before it initiates the next world war.",Rob Cohen,"['Rob Cohen', 'W.D. Richter']","['Josh Lucas', 'Jessica Biel', 'Jamie Foxx', 'Sam Shepard', 'Richard Roxburgh', 'Joe Morton', 'Ian Bliss', 'Ebon Moss-Bachrach', 'Michael Denkha', 'Rocky Helton', 'Clayton Adams', 'Maurice Morgan', 'Woody Naismith', 'Charles Ndibe', 'Nicholas Hammond', 'Michael McCabe', 'Joel Tobeck', 'John Waters']",Rob Cohen
The Stepford Wives,2004,2004,5.3,The secret to a Stepford wife lies behind the doors of the Men's Association.,Frank Oz,"['Frank Oz', 'Ira Levin']","['Nicole Kidman', 'Bette Midler', 'Matthew Broderick', 'Glenn Close', 'Christopher Walken', 'Roger Bart', 'David Marshall Grant', 'Jon Lovitz', 'Dylan Hartigan', 'Fallon Brooking', 'Faith Hill', 'Matt Malloy', 'Kate Shindle', 'Tom Riis Farrell', 'Lorri Bagley', 'Robert Stanton', 'Lisa Masters', 'Christopher Evan Welch']",Frank Oz
The Huntsman: Winter's War,2016,2016,6.1,"Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",Cedric Nicolas-Troyan,"['Cedric Nicolas-Troyan', 'Evan Spiliotopoulos']","['Chris Hemsworth', 'Jessica Chastain', 'Charlize Theron', 'Emily Blunt', 'Nick Frost', 'Rob Brydon', 'Sheridan Smith', 'Alexandra Roach', 'Sope Dirisu', 'Sam Hazeldine', 'Sam Claflin', 'Sophie Cookson', 'Conrad Khan', 'Niamh Walter', 'Nana Agyeman-Bediako', 'Amelia Crouch', 'Fred Tatasciore', 'Ralph Ineson']",Cedric Nicolas-Troyan
London Has Fallen,2016,2016,5.9,"In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.",Babak Najafi,"['Babak Najafi', 'Creighton Rothenberger']","['Gerard Butler', 'Aaron Eckhart', 'Morgan Freeman', 'Angela Bassett', 'Alon Aboutboul', 'Waleed Zuaiter', 'Adel Bencherif', 'Mehdi Dehbi', 'Shivaani Ghai', 'Martin Petrushev', 'Owen Davis', 'Michael Wildman', 'Radha Mitchell', 'Lucy Newman-Williams', 'Julian Kostov', 'Stacy Shane', 'Penny Downie', 'Guy Williams']",Babak Najafi
Gilda Live,1980,1980,6.9,"A filmed version of the Broadway show starring comedienne Gilda Radner, complete with the characters she made famous on the TV show ""Saturday Night Live.""",Mike Nichols,"['Mike Nichols', 'Lorne Michaels']","['Gilda Radner', 'Don Novello', 'Paul Shaffer', 'Nils Nichols', 'Bob Christianson', 'Howard Shore', 'Diana Grasselli', 'Myriam Valle', 'Maria Vidal', 'Johnny Caruso', 'G.E. Smith']",Mike Nichols
Show Dogs,2018,2018,3.9,"Max, a macho, solitary Rottweiler police dog is ordered to go undercover as a primped show dog in a prestigious Dog Show, along with his human partner, to avert a disaster from happening.",Raja Gosnell,"['Raja Gosnell', 'Max Botkin']","['Will Arnett', 'Ludacris', 'Natasha Lyonne', 'Stanley Tucci', 'Jordin Sparks', 'Gabriel Iglesias', ""Shaquille O'Neal"", 'Alan Cumming', 'Omar Chaparro', 'Anders Holm', 'Kate Micucci', 'Blake Anderson', 'RuPaul', 'Andy Beckwith', 'Oliver Tompsett', 'Simon Lipkin', 'Kerry Shale', 'Colin Stinton']",Raja Gosnell
Half Past Dead,2002,2002,4.6,A man goes undercover in a hi-tech prison to find information to help prosecute those who killed his wife. While there he stumbles onto a plot involving a death-row inmate and his $200 million stash of gold.,Don Michael Paul,"['Don Michael Paul', 'Don Michael Paul']","['Morris Chestnut', 'Steven Seagal', 'Matt Battaglia', 'Ja Rule', 'Nia Peeples', 'Tony Plana', 'Kurupt', 'Michael Taliferro', 'Claudia Christian', 'Linda Thorson', 'Bruce Weitz', 'Michael McGrady', 'Richard Bremmer', 'Hannes Jaenicke', 'Wiliam T. Bowers', 'Stephen J. Cannell', 'Ross King', 'Alexandra Kamp']",Don Michael Paul
Allegiant,2016,2016,5.6,"After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.",Robert Schwentke,"['Robert Schwentke', 'Noah Oppenheim']","['Shailene Woodley', 'Theo James', 'Jeff Daniels', 'Naomi Watts', 'Octavia Spencer', 'Zoë Kravitz', 'Ansel Elgort', 'Miles Teller', 'Keiynan Lonsdale', 'Daniel Dae Kim', 'Maggie Q', 'Bill Skarsgård', 'Jonny Weston', 'Nadia Hilker', 'Andy Bean', 'Ray Stevenson', 'Mekhi Phifer', 'Joseph David-Jones']",Robert Schwentke
Murder à la Mod,1968,1968,5.4,"Naive young Karen wants to help her struggling amateur-filmmaker boyfriend Christopher raise enough money so he can divorce his wife. Meanwhile, jolly psycho prankster Otto stalks the building where Christopher is shooting a low-grade adult movie in order to keep himself afloat.",Brian De Palma,"['Brian De Palma', 'Brian De Palma']","['Andra Akers', 'William Finley', 'Margo Norton', 'Jared Martin', 'Ken Burrows', 'Lorenzo Catlett', 'Jack L. Harrell', 'Laura Stevenson', 'John Quinn', ""Jenny O'Hara"", 'Bob Scott', 'Phil Proctor', 'Leanne Harrison', 'Jennifer Salt', 'Laura Rubin', 'Marta Levenson', 'Melanie Mander']",Brian De Palma
Aaron Slick from Punkin Crick,1952,1952,5.2,"Shy farmboy loves his next-door neighbor, but she dreams of going to the big city. Then she gets mixed up with big-city gangsters.",Claude Binyon,"['Claude Binyon', 'Claude Binyon']","['Alan Young', 'Dinah Shore', 'Robert Merrill', 'Adele Jergens', 'Minerva Urecal', 'Martha Stewart', 'Fritz Feld', 'Veda Ann Borg', 'Chick Chandler', 'Dorothy Abbott', 'Fred Aldrich', 'Leon Alton', 'Ginger Anderson', 'Brooks Benedict', 'Frank W. Bering', 'Barbara Carroll', 'Dick Cherney', 'Ken Christy']",Claude Binyon
The Gunman,2015,2015,5.8,"A sniper on a mercenary assassination team kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later, he becomes the target of a hit squad himself.",Pierre Morel,"['Pierre Morel', 'Jean-Patrick Manchette']","['Sean Penn', 'Idris Elba', 'Jasmine Trinca', 'Javier Bardem', 'Ray Winstone', 'Mark Rylance', 'Peter Franzén', 'Mark Billingham', 'Daniel Adegboyega', 'Ade Oyefeso', 'Alejandro Talavante', 'Florian Barisey', 'Ismael Tunkara', 'Amara Tunkara', 'Rachel Lascar', 'Miquel Àngel Ripeu', 'Mark Schardan', 'Txiki Blasi']",Pierre Morel
The Adventures of Pluto Nash,2002,2002,3.8,"In the future, a man struggles to keep his lunar nightclub out of the hands of the Mafia.",Ron Underwood,"['Ron Underwood', 'Neil Cuthbert']","['Eddie Murphy', 'Jay Mohr', 'Randy Quaid', 'Rosario Dawson', 'Joe Pantoliano', 'Luis Guzmán', 'James Rebhorn', 'Peter Boyle', 'Burt Young', 'Miguel A. Núñez Jr.', 'Pam Grier', 'John Cleese', 'Victor Varnado', 'Illeana Douglas', 'Jacynthe René', 'Alissa Kramer', 'Heidi Kramer', 'Lillo Brancato']",Ron Underwood
Bullet to the Head,2012,2012,5.7,"After watching their respective partners die, a New Orleans hitman and a Washington, D.C. detective form an alliance in order to bring down their common enemy.",Walter Hill,"['Walter Hill', 'Alessandro Camon']","['Sylvester Stallone', 'Jason Momoa', 'Christian Slater', 'Sung Kang', 'Sarah Shahi', 'Adewale Akinnuoye-Agbaje', 'Jon Seda', 'Holt McCallany', 'Brian Van Holt', 'Weronika Rosati', 'Dane Rhodes', 'Marcus Lyle Brown', 'Andrew Austin-Peterson', 'Paul Etheredge', 'Robert Cavan Carruth', 'Louis Michot', 'Andre Michot', 'Lacey Minchew']",Walter Hill
Bad Company,2002,2002,5.6,"When an Ivy League-educated C.I.A. Agent is killed during an operation, the secret agency recruits his twin brother (Chris Rock).",Joel Schumacher,"['Joel Schumacher', 'Gary M. Goodman']","['Anthony Hopkins', 'Chris Rock', 'Matthew Marsh', 'Gabriel Macht', 'Kerry Washington', 'Adoni Maropis', 'Garcelle Beauvais', 'Peter Stormare', 'Dragan Micanovic', 'John Slattery', 'Brooke Smith', 'Daniel Sunjata', 'DeVone Lawson Jr.', 'Wills Robbins', 'Marek Vasut', 'Majed Ibrahim', 'Peter Macdissi', 'Luke F Dejahang']",Joel Schumacher
Insurgent,2015,2015,6.2,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,Robert Schwentke,"['Robert Schwentke', 'Brian Duffield']","['Shailene Woodley', 'Ansel Elgort', 'Theo James', 'Kate Winslet', 'Jai Courtney', 'Mekhi Phifer', 'Miles Teller', 'Cynthia Barrett', 'Justice Leak', 'Lyndsi LaRose', 'Charlie Bodin', 'Octavia Spencer', 'Zoë Kravitz', 'Ben Lloyd-Hughes', 'Tony Goldwyn', 'Ashley Judd', 'Konrad Howard', 'Lucella Costa']",Robert Schwentke
Rollerball,2002,2002,3.1,The big thing in 2005 is a violent sport which can have some pretty serious consequences... like dying.,John McTiernan,"['John McTiernan', 'William Harrison']","['Chris Klein', 'Jean Reno', 'LL Cool J', 'Rebecca Romijn', 'Naveen Andrews', 'Oleg Taktarov', 'David Hemblen', 'Janet Wright', 'Andrew Bryniarski', 'Kata Dobó', 'Alice Poon', 'Lucia Rijker', 'Melissa R. Stubbs', 'Paul Wu', 'Yolanda Hughes-Heying', 'Jay Mahin', 'Simon Girard', 'Tom Farr']",John McTiernan
Escape Plan,2013,2013,6.7,"When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison, he has to use his skills to escape with help from the inside.",Mikael Håfström,"['Mikael Håfström', 'Miles Chapman']","['Sylvester Stallone', 'Arnold Schwarzenegger', '50 Cent', ""Vincent D'Onofrio"", 'Jim Caviezel', 'Faran Tahir', 'Amy Ryan', 'Sam Neill', 'Vinnie Jones', 'Matt Gerald', 'Caitríona Balfe', 'David Joseph Martinez', 'Alec Rayme', 'Christian Stokes', 'Graham Beckel', 'Rodney Feaster', 'David Leitch', 'Lydia Hull']",Mikael Håfström
Trespass,2011,2011,5.3,"As they're held for ransom, a husband and wife's predicament grows more dire amid the discovery of betrayal and deception.",Joel Schumacher,"['Joel Schumacher', 'Karl Gajdusek']","['Nicolas Cage', 'Nicole Kidman', 'Cam Gigandet', 'Ben Mendelsohn', 'Liana Liberato', 'Jordana Spiro', 'Dash Mihok', 'Emily Meade', 'Nico Tortorella', 'Brandon Belknap', 'Terry Milam', 'Tina Parker', 'David Maldonado', 'Nilo Otero', 'Simona Williams', 'Matthan Harris', 'Christopher Márquez', 'Safton Reed Neuman']",Joel Schumacher
Regression,2015,2015,5.6,A detective and a psychoanalyst uncover evidence of a satanic cult while investigating a young woman's terrifying past.,Alejandro Amenábar,"['Alejandro Amenábar', 'Alejandro Amenábar']","['Ethan Hawke', 'David Thewlis', 'Emma Watson', 'Dale Dickey', 'Lothaire Bluteau', 'David Dencik', 'Devon Bostick', 'Aaron Ashmore', 'Peter MacNeill', 'Adam Butcher', 'Jacob Neayem', 'Aaron Abrams', 'Catherine Disher', 'Danielle Bourgon', 'Julian Richings', 'Kristian Bruun', 'Luke Marty', 'Wendy Lyon']",Alejandro Amenábar
Lady in the Water,2006,2006,5.5,"Apartment building superintendent Cleveland Heep rescues what he thinks is a young woman from the pool he maintains. When he discovers that she is actually a character from a bedtime story who is trying to make the journey back to her home, he works with his tenants to protect his new friend from the creatures that are determined to keep her in our world.",M. Night Shyamalan,"['M. Night Shyamalan', 'M. Night Shyamalan']","['Paul Giamatti', 'Bryce Dallas Howard', 'Jeffrey Wright', 'Bob Balaban', 'Sarita Choudhury', 'Cindy Cheung', 'M. Night Shyamalan', 'Freddy Rodríguez', 'Bill Irwin', 'Mary Beth Hurt', 'Noah Gray-Cabey', 'Joseph D. Reitman', 'Jared Harris', 'Grant Monohon', 'John Boyd', 'Ethan Cohn', 'June Kyoto Lu', 'Tovah Feldshuh']",M. Night Shyamalan
Pain & Gain,2013,2013,6.4,A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong.,Michael Bay,"['Michael Bay', 'Christopher Markus']","['Mark Wahlberg', 'Dwayne Johnson', 'Anthony Mackie', 'Tony Shalhoub', 'Ed Harris', 'Rob Corddry', 'Bar Paly', 'Rebel Wilson', 'Ken Jeong', 'Michael Rispoli', 'Keili Lefkovitz', 'Emily Rutherfurd', 'Larry Hankin', 'Tony Plana', 'Peter Stormare', 'Vivi Pineda', 'Ken Clement', 'Yolanthe Cabau']",Michael Bay
Battleship,2012,2012,5.8,A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.,Peter Berg,"['Peter Berg', 'Jon Hoeber']","['Alexander Skarsgård', 'Brooklyn Decker', 'Liam Neeson', 'Rihanna', 'Taylor Kitsch', 'Tadanobu Asano', 'Hamish Linklater', 'Peter MacNicol', 'John Tui', 'Jesse Plemons', 'Gregory D. Gadson', 'Jerry Ferrara', 'Adam Godley', 'Rico McClinton', 'Joji Yoshida', 'Louis Lombardi', 'Norman Vincent McLafferty', 'Stephen Bishop']",Peter Berg
Fantastic Four,2015,2015,4.3,Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.,Josh Trank,"['Josh Trank', 'Jeremy Slater']","['Miles Teller', 'Kate Mara', 'Michael B. Jordan', 'Jamie Bell', 'Toby Kebbell', 'Reg E. Cathey', 'Tim Blake Nelson', 'Joshua Montes', 'Dan Castellaneta', 'Owen Judge', 'Kylen Davis', 'Evan Hannemann', 'Chet Hanks', 'Mary-Pat Green', 'Tim Heidecker', 'Mary Rachel Quinn', 'Wayne Pére', 'Rhonda Johnson Dents']",Josh Trank
Just My Luck,2006,2006,5.4,"Manhattanite Ashley is known to many as the luckiest woman around. After a chance encounter with a down-and-out young man, however, she realizes that she's swapped her fortune for his.",Donald Petrie,"['Donald Petrie', 'I. Marlene King']","['Lindsay Lohan', 'Chris Pine', 'Samaire Armstrong', 'Bree Turner', 'Faizon Love', 'Missi Pyle', 'Makenzie Vega', 'Carlos Ponce', 'Tom Fletcher', 'Danny Jones', 'Harry Judd', 'Dougie Poynter', 'Tovah Feldshuh', 'Jaqueline Fleming', 'Dane Rhodes', 'Mikki Val', 'Ira Hawkins', 'J.C. Sealy']",Donald Petrie
Annie,2014,2014,5.3,"A foster kid, who lives with her mean foster mom, sees her life change when business tycoon and New York City mayoral candidate Will Stacks makes a thinly-veiled campaign move and takes her in.",Will Gluck,"['Will Gluck', 'Will Gluck']","['Quvenzhané Wallis', 'Cameron Diaz', 'Jamie Foxx', 'Rose Byrne', 'Bobby Cannavale', 'Adewale Akinnuoye-Agbaje', 'David Zayas', 'Zoe Margaret Colletti', 'Nicolette Pierini', 'Eden Duncan-Smith', 'Amanda Troya', 'Dorian Missick', 'Tracie Thoms', 'Mike Birbiglia', 'Stephanie Kurtzuba', 'Peter Van Wagner', 'Ray Iannicelli', 'Michael J. Fox']",Will Gluck
