title,year,certificate,rating,description,director,writer,stars,actors,genres
6 Underground,2019,2019,6.1,"Six individuals from all around the globe, each the very best at what they do, have been chosen not only for their skill, but for a unique desire to delete their pasts to change the future.",Awards,,Stars,Ryan Reynolds,Michael Bay
The Adventures of Rocky & Bullwinkle,2000,2000,4.2,"When enemies Boris, Natasha, and Fearless Leader escape into the real world with a nefarious scheme, Rocky and Bullwinkle do the same, and team up with a young F.B.I. Agent to stop the trio.",Awards,Learn more about contributing,Stars,Robert De Niro,Des McAnuff
Unforgettable,2017,2017,5.1,A woman sets out to make life a living hell for her ex-husband's new fiancée.,Awards,Learn more about contributing,Stars,Rosario Dawson,Denise Di Novi
Bio-Dome,1996,1996,4.3,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",Awards,Writers,Stars,Pauly Shore,Jason Bloom
Mission to Mars,2000,2000,5.6,"When the first manned mission to Mars meets with a catastrophic and mysterious disaster after reporting an unidentified structure, a rescue mission is launched to investigate the tragedy and bring back any survivors.",Awards,Writers,Stars,Tim Robbins,Brian De Palma
Thunder Force,2021,2021,4.5,"In a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city.",Awards,Learn more about contributing,Stars,Melissa McCarthy,Ben Falcone
UglyDolls,2019,2019,5.0,"An animated adventure in which the free-spirited UglyDolls confront what it means to be different, struggle with a desire to be loved, and ultimately discover who you truly are is what matters most.",Awards,Writers,Stars,Kelly Clarkson,Kelly Asbury
Jacob's Ladder,2019,2019,3.5,"After his brother returns home from war, Jacob Singer struggles to maintain his sanity. Plagued by hallucinations and flashbacks, Singer rapidly falls apart as the world and people around him morph and twist into disturbing images.",Trivia,Writers,Stars,Michael Ealy,David M. Rosenthal
Elstree Calling,1930,1930,5.0,"A series of nineteen musical and comedy ""vaudeville"" sketches presented in the form of a live broadcast hosted by Tommy Handley (as himself). There are two ""running gags"" which connect the sketches. In one, an actor wants to perform Shakespeare, but he is continually denied air-time. The other gag has an inventor trying to view the broadcast on television. Four of the... Read all",Directors,,Stars,Tommy Handley,André Charlot
American Son,2019,2019,5.8,An estranged couple reunite in a Florida police station to help find their missing teenage son.,Nominated for 1 Primetime Emmy,Learn more about contributing,Stars,Kerry Washington,Kenny Leon
The Wiz,1978,1978,5.4,"An adaptation of ""The Wizard of Oz"" that tries to capture the essence of the African-American experience.",Nominated for 4 Oscars,Learn more about contributing,Stars,Diana Ross,Sidney Lumet
After,2019,2019,5.3,A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.,Awards,Writers,Stars,Josephine Langford,Jenny Gage
The Hound of the Baskervilles,1978,1978,4.5,A Sherlock Holmes spoof about a family that has been haunted for years by the curse of a horrible hound.,Awards,Writers,Stars,Peter Cook,Paul Morrissey
Secret Obsession,2019,2019,4.4,"Recuperating from trauma, Jennifer remains in danger as she returns to a life she doesn't remember.",Trivia,Learn more about contributing,Stars,Brenda Song,Peter Sullivan
Run the Race,2018,2018,6.0,"Against the backdrop of high school football and track, two brothers in a small Southern town face escalating problems with two different world views, straining - but ultimately strengthening - the bonds of brotherhood.",Awards,Learn more about contributing,Stars,Tanner Stine,Chris Dowling
No manches Frida 2,2019,2019,4.2,Zequi tries to regain Lucy's love by bringing the school's team to victory.,Connections,Learn more about contributing,Stars,Martha Higareda,Nacho G. Velilla
Falling Inn Love,2019,2019,5.6,"When city girl Gabriela spontaneously enters a contest and wins a rustic New Zealand inn, she teams up with bighearted contractor Jake Taylor to fix and flip it.",Trivia,Learn more about contributing,Stars,Christina Milian,Roger Kumble
Poms,2019,2019,6.1,"POMS is a comedy about a group of women who form a cheer leading squad at their retirement community, proving that you're never too old to 'bring it!'",Awards,Learn more about contributing,Stars,Diane Keaton,Zara Hayes
Wonder Park,2019,2019,5.8,The imagination of a wildly creative girl comes alive in an amusement park.,Awards,Learn more about contributing,Stars,Sofia Mali,Dylan Brown
Highlander III: The Sorcerer,1994,1994,4.4,"Deceived that he had won the Prize, Connor MacLeod awakens from a peaceful life when an entombed immortal magician comes seeking the Highlander.",Awards,Writers,Stars,Christopher Lambert,Andrew Morahan
Playing with Fire,2019,2019,5.1,A crew of rugged firefighters meet their match when attempting to rescue three rambunctious kids.,Awards,Learn more about contributing,Stars,John Cena,Andy Fickman
Stardust,2020,2020,4.4,Chronicles the young David Bowie's first visit to the US in 1971 - a trip that inspired the invention of his iconic alter ego Ziggy Stardust.,Awards,Learn more about contributing,Stars,Johnny Flynn,Gabriel Range
A Week Away,2021,2021,5.7,"With nowhere left to go, Will Hawkins finds himself at camp for the first time. His instinct is to run, but he finds a friend, a father figure, and even a girl who awakens his heart. Most of all, he finally finds a home.",Awards,Writers,Stars,Kevin Quinn,Roman White
Loqueesha,2019,2019,1.5,A white guy pretends to be a black female talk radio host and becomes a huge hit.,Trivia,Learn more about contributing,Stars,Susan Diol,Jeremy Saville
Coffee & Kareem,2020,2020,5.1,"Twelve-year-old Kareem Manning hires a criminal to scare his mom's new boyfriend -police officer James Coffee - but it backfires, forcing Coffee and Kareem to team up in order to save themselves from Detroit's most ruthless drug kingpin.",Awards,Learn more about contributing,Stars,Ed Helms,Michael Dowse
Jexi,2019,2019,6.0,"Phil makes top 10 pop lists at work. His only ""friend"" is cellphone Siri. His new phone includes AI helper Jexi, who improves/controls his social life.",Awards,,Stars,Adam Devine,Jon Lucas
Fatal Affair,2020,2020,4.5,"Ellie tries to mend her marriage with her husband Marcus after a brief encounter with an old friend, David, only to find that David is more dangerous and unstable than she'd realized.",Awards,Learn more about contributing,Stars,Nia Long,Peter Sullivan
A Fall from Grace,2020,2020,5.8,"Disheartened since her ex-husband's affair, Grace Waters feels restored by a new romance. But when secrets erode her short-lived joy, Grace's vulnerable side turns violent.",Awards,Learn more about contributing,Stars,Crystal Fox,Tyler Perry
Godzilla: King of the Monsters,2019,2019,6.0,"The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah.",Awards,,Stars,Kyle Chandler,Michael Dougherty
Dolittle,2020,2020,5.6,A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.,Awards,Writers,Stars,Robert Downey Jr.,Stephen Gaghan
Vanquish,2021,2021,2.8,"A mother, Victoria, is trying to put her dark past as a Russian drug courier behind her, but retired cop Damon forces Victoria to do his bidding by holding her daughter hostage.",Awards,Learn more about contributing,Stars,Morgan Freeman,George Gallo
Âya to majo,2020,2020,4.8,"An orphan girl, Earwig, is adopted by a witch and comes home to a spooky house filled with mystery and magic.",Awards,Writers,Stars,Jazmín Abuín,Gorô Miyazaki
Replicas,2018,2018,5.4,A scientist becomes obsessed with bringing back his family members who died in a traffic accident.,Awards,Learn more about contributing,Stars,Keanu Reeves,Jeffrey Nachmanoff
Love Wedding Repeat,2020,2020,5.5,"While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl who got away in alternate versions of the same day.",Trivia,Learn more about contributing,Stars,Sam Claflin,Dean Craig
The Virtuoso,2021,2021,4.9,"Danger, deception and murder descend upon a sleepy town when a professional assassin accepts a new assignment from his enigmatic boss.",Trivia,Learn more about contributing,Stars,Anson Mount,Nick Stagliano
Spiral: From the Book of Saw,2021,2021,5.2,"A criminal mastermind unleashes a twisted form of justice in Spiral, the terrifying new chapter from the book of Saw.",Awards,,Stars,Chris Rock,Darren Lynn Bousman
Holmes & Watson,2018,2018,3.9,A humorous take on Sir Arthur Conan Doyle's classic mysteries featuring Sherlock Holmes and Doctor Watson.,Awards,Learn more about contributing,Stars,Will Ferrell,Etan Cohen
The Misfits,2021,2021,4.3,"After being recruited by a group of unconventional thieves, renowned criminal Richard Pace finds himself caught up in an elaborate gold heist that promises to have far-reaching implications on his life and the lives of countless others.",Awards,Learn more about contributing,Stars,Pierce Brosnan,Renny Harlin
Blame It on the Bellboy,1992,1992,5.5,"Several strangers converge on a hotel in Venice, Italy, where a bellboy's bad English sets them up to clash against each other in a hilarious case of mistaken identity.",Trivia,Learn more about contributing,Stars,Bronson Pinchot,Mark Herman
Hitman's Wife's Bodyguard,2021,2021,6.1,"The bodyguard, Michael Bryce, continues his friendship with assassin, Darius Kincaid, as they try to save Darius' wife Sonia.",Awards,Learn more about contributing,Stars,Ryan Reynolds,Patrick Hughes
Redemption Day,2021,2021,4.5,"When the love of his life is kidnapped and held for ransom by terrorists, a war hero Brad Paxton races against the clock to rescue her in a daring and deadly operation that pits him against the most powerful and shadowy forces.",Awards,Learn more about contributing,Stars,Gary Dourdan,Hicham Hajji
Темная башня,2017,2017,5.6,A boy haunted by visions of a dark tower from a parallel reality teams up with the tower's disillusioned guardian to stop an evil warlock known as the Man in Black who plans to use the boy to destroy the tower and open the gates of Hell.,Awards,Writers,Stars,Idris Elba,Nikolaj Arcel
Men in Black: International,2019,2019,5.6,"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest threat to date: a mole in the Men in Black organization.",Awards,Learn more about contributing,Stars,Chris Hemsworth,F. Gary Gray
Infinite,2021,2021,5.4,A man discovers that his hallucinations are actually visions from past lives.,Awards,Learn more about contributing,Stars,Mark Wahlberg,Antoine Fuqua
